CHID,DESCRIPTION,HOST,VALUE,EXPECTED_VALUE,C,SAP_NOTE
"M1816","Filling level of async shipping buffer (%)","","n/a","<= 50",""," 1999880"
"M1818","Async log shipping buffer full (short-term)","","n/a","0",""," 1999880"
"M1820","Parameter deviations primary vs. secondary site","","0","0",""," 1999880"
"M1830","Age of oldest replication snapshot (h)","","n/a","<= 10.00",""," 1999880"
"M1835","Max. initial data shipping time (h)","","n/a","<= 24.00",""," 1999880"
"M1850","System replication op. mode logreplay used","","yes","yes",""," 1999880"
"M1852","Current log replay backlog (GB)","","0","<= 10",""," 2661878"
"M1853","Current log replay delay (s)","","0","<= 600",""," 2661878"
"M1854","Max. log replay backlog (GB, long-term)","","0","<= 30",""," 2661878"
"M1855","Max. log replay delay (s, long-term)","","0","<= 1800",""," 2661878"
"M1860","Datashipping combined with log retention","","no","no",""," 1999880"
"M1861","Both delta_datashipping and logreplay used","","no","no",""," 1999880"
"M1865","System replication savepoint delay (h)","","n/a","<= 4.00",""," 1999880"
"","","","","","",""
"****","OBJECTS","","","","",""
"","","","","","",""
"M1920","Number of invalid procedures","","0","0","",""
"M1940","Sequences with insufficient caching","","1","0","X"," 2600095"
"M1945","Cross node triggers","","0","0","",""
"M1950","Columns with significant text indexing errors","","none","none",""," 2800008"
"M1952","Documents queued for fulltext indexing","","0","<= 1000000",""," 2800008"
"M1960","Number of calculation scenarios","erphana02","2887","<= 500000","",""
"","","","","","",""
"****","BW","","","","",""
"","","","","","",""
"M2010","Empty TABLE_PLACEMENT table in BW","","no","no",""," 1908075"
"M2020","Partitioned SID tables","","0","0",""," 2044468"
"M2022","SID tables > 1.5 billion rows","","0","0",""," 1331403"
"M2025","Partitioned special BW tables < 1.5 bill. rows","","0","0",""," 2044468"
"M2027","Tables with high sub-partition PARTNO","","none","none",""," 2002607"
"M2040","Temporary BW tables","","0","<= 1000",""," 2388483"
"M2042","BW aggregate tables","","0","0",""," 2388483"
"M2044","Old temporary calculation scenarios","","0","<= 1000",""," 2593719"
"M2050","BW tables with inverted hash indexes","","0","0",""," 2109355"
"","","","","","",""
"****","CONSISTENCY","","","","",""
"","","","","","",""
"M2110","CHECK_TABLE_CONSISTENCY errors (long-term)","","0","0",""," 1977584"
"M2113","Last global table consistency check (days)","","0.79","<= 32.00",""," 2116157"
"M2115","Tables without recent consistency check","","0","0",""," 2116157"
"M2116","Tables with consistency check errors","","0","0",""," 2116157"
"M2118","Table container check with load configured","","no","no",""," 2116157"
"M2130","Inconsistencies between topology and daemon","erphana02","0","0",""," 2222249"
"M2135","Inconsistent node role definition in topology","","no","no","",""
"M2140","Inconsistencies of metadata and dependencies","","0","0",""," 2498587"
"M2150","Missing index concat attributes","","0","0",""," 2160391"
"","","","","","",""
"****","SMART DATA ACCESS / SMART DATA INTEGRATION","","","","",""
"","","","","","",""
